Column;Data type;Replace NA With
adr_zip;int;-1
adv_permission;int;-1
age_segment;int;-1
article_status_enc;int;-1
avg_bandwidth_in_avg;double;median
avg_bandwidth_in_std;double;median
avg_bandwidth_in_trnd6m;double;median
avg_bandwidth_out_avg;double;median
avg_bandwidth_out_std;double;median
avg_bandwidth_out_trnd6m;double;median
avg_canc_adr_zip;double;median
avg_canc_age_segment;double;median
avg_canc_federal_state;double;median
avg_canc_orig_sf;double;0
avg_canc_serv_sf;double;0
avg_cost;double;median
avg_days_of_usage_avg;double;median
avg_days_of_usage_std;double;median
avg_days_of_usage_trnd6m;double;median
avg_nps_nps_3m;double;median
avg_nps_tot_3m;double;median
avg_subs_excl_inst;double;median
avg_subs_incl_inst;double;median
avg_use_time;double;median
bnt_vvl_lng;int;-1
client_id;string;Unknown
cost;double;median
cost_delta;double;median
cost_delta_pct;double;median
current_tariff_option;string;Unknown
data_number_wap_avg;double;median
data_number_wap_std;double;median
data_number_wap_trnd3m;double;median
data_number_wap_trnd6m;double;median
data_vol_roaming_avg;double;median
data_vol_roaming_std;double;median
data_vol_roaming_trnd3m;double;median
data_vol_roaming_trnd6m;double;median
data_vol_total_avg;double;median
data_vol_total_std;double;median
data_vol_total_trnd3m;double;median
data_vol_total_trnd6m;double;median
days_since_last_use_sold;int;median
days_since_latest_use;int;median
device_type;string;Unknown
discount_avg;double;median
discount_std;double;median
discount_trnd3m;double;median
discount_trnd6m;double;median
emp_liable;int;0
equal_to_recently_sold;int;-1
ext_credit_class;int;-1
federal_state;string;Unknown
gender;int;-1
gross_nbr_handsets_sold;bigint;median
handset_feat_type;string;Unknown
has_kd_products;int;-1
hou_aff_new_products;int;-1
hou_aff_prices;int;-1
hou_fam_structure;int;-1
instalment_avg;double;median
instalment_std;double;median
instalment_trnd3m;double;median
instalment_trnd6m;double;median
int_credit_class;int;-1
known_article;int;-1
l3_tariff_desc;string;Unknown
l4_tariff_desc;string;Unknown
l5_tariff_desc;string;Unknown
max_fd_call_drops;double;median
max_fd_unsuc_call_attempts;double;median
mixed_hh_flag;int;-1
mon_since_con_start;int;median
mon_since_last_subsi;int;median
mon_til_next_subsi;int;median
months_since_act;int;median
nbr_campaign_responded;bigint;median
nbr_campaign_taken;bigint;median
nbr_campaigns;bigint;median
nbr_canc_req;bigint;median
nbr_cold_ho;bigint;median
nbr_complaints_12m;bigint;median
nbr_complaints_3m;bigint;median
nbr_complaints_6m;bigint;median
nbr_con_cycles;bigint;median
nbr_consult;bigint;median
nbr_cust_facing_rebook;bigint;median
nbr_distinct_teams;bigint;median
nbr_dropped_calls;bigint;median
nbr_handsets_returned;int;0
nbr_handsets_used;bigint;-1
nbr_past_contracts;bigint;median
nbr_past_subsi_dates;bigint;median
nbr_past_tariffs;bigint;median
nbr_purchase_trans_avg;double;0
nbr_purchase_trans_max;int;0
nbr_purchase_trans_std;double;0
nbr_purchase_trans_trnd12m;double;0
nbr_return_debit_notes;bigint;median
nbr_sessions_avg;double;median
nbr_sessions_std;double;median
nbr_sessions_trnd6m;double;median
nbr_unsuc_call_attempts;bigint;median
nbr_upset_comp_6m;bigint;median
nbr_warm_ho;bigint;median
nbr_winback_accept;bigint;median
network_desc;string;Unknown
operating_system;string;Unknown
orig_sf;string;Unknown
pct_call_success;double;median
pct_campaign_responded;double;median<0
pct_campaign_taken;double;median<0
pct_dropped_calls;double;median
pct_winback_accept;double;median
producer_sold;string;Unknown
producer_used;string;Unknown
provider_desc;string;Unknown
qu_avg_hou_pp;double;median
qu_avg_liv_area;double;median
qu_gini_hou_pp;double;median
qu_gini_liv_area;double;median
qu_inhab_per_sqkm;double;median
qu_nbr_inhabitants;int;median
qu_pct_foreigners;double;median
qu_pct_hh_acad_title;double;median
qu_pct_hh_foreign;double;median
qu_pp_inhabitants;double;median
qu_std_hou_pp;double;median
qu_std_liv_area;double;median
quantity;int;median
region_type;int;-1
remaining_months;bigint;median
revenue_avg;double;median
revenue_std;double;median
revenue_trnd3m;double;median
revenue_trnd6m;double;median
serv_revenue_avg;double;median
serv_revenue_std;double;median
serv_revenue_trnd3m;double;median
serv_revenue_trnd6m;double;median
serv_sf;string;Unknown
sold_in_month;int;-1
str_avg_hou_pp;double;median
str_avg_inhab_hh;double;median
str_avg_liv_area;double;median
str_gini_hou_pp;double;median
str_gini_liv_area;double;median
str_nbr_households;int;median
str_pct_hh_acad_title;double;median
str_pct_hh_foreign;double;median
str_std_hou_pp;double;median
str_std_liv_area;double;median
subs_excl_inst;double;median
subs_hand_ind;int;median
subs_incl_inst;double;median
sum_downlink_dvolume_avg;double;median
sum_downlink_dvolume_std;double;median
sum_downlink_dvolume_trnd6m;double;median
sum_duration_avg;double;median
sum_duration_std;double;median
sum_duration_trnd6m;double;median
sum_net_amount_avg;double;median
sum_net_amount_max;double;median
sum_net_amount_std;double;median
sum_net_amount_trnd12m;double;median
sum_uplink_dvolume_avg;double;median
